[0] 0.007715     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.007876      DbgMgr:e05ead8f:00:01: [PM] Disable (ID = 10, cnt = 1/2)
[0] 0.014999      DbgMgr:e05eae1b:00:01: [PM] Enable (ID = 10, cnt = 0/1)
[0] 0.037581     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ec8 0xe1980000 0x4
[0] 0.037623     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ecc 0xe1980004 0x4
[0] 0.038820     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e40000 0x4
[0] 0.038858     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e40004 0x4
[0] 0.038949     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e80000 0x4
[0] 0.038983     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e80004 0x4
[0] 0.039020     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1ec0000 0x4
[0] 0.039054     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1ec0004 0x4
[0] 0.039090     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1e40004 0x4
[0] 0.039126     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.041718     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e80000 0x4
[0] 0.041759     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e80004 0x4
[0] 0.042378     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1f00000 0x4
[0] 0.042414     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1f00004 0x4
[0] 0.042453     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1f00004 0x4
[0] 0.042489     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.043695     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1f00000 0x4
[0] 0.043733     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1f00004 0x4
[0] 0.044370     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
[0] 0.044408     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.044457     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ef8 0xe1f20004 0x4
[0] 0.044493     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.044572      SFRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x8000)
[0] 0.044604      SFRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x2008000, Flag = 0x8000)
[0] 0.046714     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
