[0] 0.042447     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1f00004 0x4
[0] 0.042482     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.043691     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1f00000 0x4
[0] 0.043728     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1f00004 0x4
[0] 0.044365     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
[0] 0.044404     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.044455     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ef8 0xe1f20004 0x4
[0] 0.044491     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.044563      SFRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x8000)
[0] 0.044595      SFRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x2008000, Flag = 0x8000)
[0] 0.046712     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e98 0xe1f20000 0x4
[0] 0.046753     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.046888     RomRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x2000000)
[0] 0.046920     RomRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x2000000, Flag = 0x2000000)
[0] 0.046979     Startup:e00490cd:00:05: [SEQ] seqEventDispatch (Startup, 0)
[0] 0.047007     Startup:e0041503:89:05: startupEntry
[0] 0.052188  **INT-A8h*:e02e2ed9:03:03: NotifyIntRelaxToR4CBR IN
[0] 0.052641     Startup:e0046dc1:b4:03: [PWM] PWM_Initialize
[0] 0.052808     Startup:e00dd163:b4:03: [ADC] InitializePollingADC
[1] 0.053958       init1:e028fd0f:d2:03: [FMID]FMID_SYS_Initialize(0x7eee9600, 0x500000)
[1] 0.054018       init1:e0227b31:d2:01: FMID_COM_SendMsgToOmar(0x30000, 0x0, 0x40479820)
[1] 0.054083       init1:e0285625:d2:01: FMID_GetDefaultMiddleParam(0x40a49d20)
[1] 0.054124       init1:e0227b5d:d2:01: FMID_COM_SendMsgToOmarSync(0x30001, 0xb, 0x40479844)
[1] 0.054191    FmidCtrl:e0061095:d2:01: FmidCtrl_EventDispath(0x30000, 0x0, 0x40479820)
[1] 0.055281    FmidCtrl:e0061095:d2:01: FmidCtrl_EventDispath(0x30001, 0xb, 0x40479844)
[1] 0.055467  GlobalVect:e07ecd61:e0:03: GlobalVectorInit
[0] 0.062897     Startup:e00dd06d:b4:03: [ ADC ] Calibration Completed, 0x00000000
[0] 0.067733     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 3, 6
[0] 0.067771     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 1, 1
[0] 0.068299     PropMgr:e00643a1:81:03: @@@JudgeRestoreFlavorPC 1055
[0] 0.069128  **INT-2Ah*:00103b4b:00:0f: [0] *** mpu_send(06 04 02 00 00 00)
[0] 0.069177  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069264  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.069326  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069411  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.069448  **INT147h*:00103bcb:00:0f: [0] *** mpu_recv(06 05 01 00 03 00)
[0] 0.069501  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069570  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.069606  **INT147h*:00103bcb:00:0f: [1] *** mpu_recv(06 05 01 99 00 00)
[0] 0.069648     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80000000(1 0 0) 0x3 
[0] 0.069690  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069726     PropMgr:e0064901:81:03: ChangeAEMode -> 3 @AE_MODE_DIAL
[0] 0.069777  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.069811  **INT147h*:00103bcb:00:0f: [2] *** mpu_recv(06 05 01 9a 00 00)
[0] 0.069856  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.069891     PropMgr:e0064369:81:01: DIST Send 1,1
[0] 0.069928     PropMgr:e009294b:81:01: propst_ChangeAEMode Start
[0] 0.069961  **INT147h*:00103b4b:00:0f: [1] *** mpu_send(08 06 01 a7 01 01 00 00)
[0] 0.069990  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.070017  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.070050  **INT147h*:00103bcb:00:0f: [3] *** mpu_recv(06 05 01 06 20 00)
[0] 0.070073  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 2/3)
[0] 0.070120     PropMgr:e009297f:81:03: Active Adjective & Situation 3->3
[0] 0.070156  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 1/2)
[0] 0.070195  **INT147h*:00103bcb:00:0f: [4] *** mpu_recv(06 05 01 3f 00 00)
[0] 0.070221  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 2/3)
[0] 0.070249  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 1/2)
[0] 0.070316  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.070352  **INT147h*:00103bcb:00:0f: [5] *** mpu_recv(06 05 01 4f 00 00)
[0] 0.070378     PropMgr:e00ae52f:81:03: ReqChangeCBR : Adjective 0, 0
[0] 0.070406     PropMgr:e00ae589:81:03: Not ExecMultiConvert Already None : Adjective 0, 0
[0] 0.070462     PropMgr:e00ae62b:81:03: Not ExecMultiConvert : Situation 0
[0] 0.070547     PropMgr:e0092ce5:81:03: !! Convert End !!
[0] 0.070663     PropMgr:e04e889d:02:03: DataType = 0x2000000 fModify = TRUE
[0] 0.070880     PropMgr:e0092f93:81:01: propst_ChangeAEMode End
[0] 0.071018  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.071072     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.071243     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.071352     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.071570  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.071643  **INT147h*:00103bcb:00:0f: [6] *** mpu_recv(30 2f 02 0d 00 00 00 00 01 00 00 00 00 00 00 01 00 01 02 00 00 00 00 00 01 01 00 03 00 00 00 00 00 00 00 01 03 00 01 01 2c 00 07 01 01 00 00 00)
[0] 0.071710  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.072098     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80040013(0 0 0) 0x0 
[0] 0.072155     PropMgr:e00c4d27:81:03: PROP_STROBO_FIRING 0 Last 0
[0] 0.072187     PropMgr:e00c4d41:81:03: dwLastStroboFiring = 0  stroboFiring = 0
[0] 0.072254     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80030037(0 0 0) 0x0 
[0] 0.072295     PropMgr:e0064895:81:03: FixedMovie New 0 Last 0
[0] 0.072323     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.072352     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.072382     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.072702     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050016(0 0 0) 0x1 
[0] 0.072770  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.072883  **INT147h*:00103bcb:00:0f: [7] *** mpu_recv(5e 5c 02 0f 02 00 00 08 01 01 00 00 00 00 00 00 00 00 00 00 17 6a 00 00 00 1e 00 00 00 00 00 00 00 03 00 00 00 01 00 00 00 00 00 02 03 01 01 00 00 00 00 00 00 00 00 00 03 0e 10 00 00 0b b5 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
[0] 0.072950  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.073119     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050029(0 0 0) 0x0 
[0] 0.073350     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050024(0 0 0) 0x0 
[0] 0.073391     PropMgr:e0064fd9:81:03: PROP_CHROMATISM 0 (Excluding:0)
[0] 0.073560     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050023(0 0 0) 0x1 
[0] 0.073597     PropMgr:e0064f73:81:03: PROP_DISTORTION_COMP 1 (Excluding:0)
[0] 0.073681     PropMgr:e0064369:81:01: DIST Send 1,1
[0] 0.073753  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
