[0] 0.114432     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204e9c 0xe1f20004 0x4
[0] 0.114688     RomRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x2000000)
[0] 0.114688     RomRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x2008000, Flag = 0x2000000)
[0] 0.117504      SFRead:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x8000)
[0] 0.117504      SFRead:e0049231:00:03: [SEQ] NotifyComplete (Cur = 0, 0x8000, Flag = 0x8000)
[0] 0.117504     Startup:e00490cd:00:05: [SEQ] seqEventDispatch (Startup, 0)
[0] 0.117504     Startup:e0041503:89:05: startupEntry
[0] 0.120832     Startup:e0046dc1:b4:03: [PWM] PWM_Initialize
[0] 0.120832     Startup:e00dd163:b4:03: [ADC] InitializePollingADC
[1] 0.128256  GlobalVect:e07ecd61:e0:03: GlobalVectorInit
[0] 0.131328     Startup:e00dd061:b4:03: [ ADC ] Calibration Executing...... 0x2ae8944a
[0] 0.131328     Startup:e00dd06d:b4:03: [ ADC ] Calibration Completed, 0x238e1f29
[0] 0.136192     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 3, 6
[0] 0.136192     PropMgr:e00ae365:81:03: PROP_RegisterMultiConvert : 1, 1
[0] 0.137472     PropMgr:e00643a1:81:03: @@@JudgeRestoreFlavorPC 1055
[0] 0.138752  **INT-2Ah*:00103987:00:0f: [0] *** mpu_send(06 04 02 00 00 00)
[0] 0.139008  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.140288  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.140800  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.140800     PropMgr:e054d7f3:37:03: emSlaveChangeCBR : AUTO_POWEROFF (1)
[0] 0.140800     PropMgr:e054d811:37:03: emSlaveChangeCBR : UILOCK (0x0)
[0] 0.145408  **INT147h*:00103987:00:0f: [1] *** mpu_send(22 20 0e 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
[0] 0.145664     PropMgr:e044ebfd:d6:03: LvLensDataMasterResultCBR
[0] 0.145664     PropMgr:e044ebfd:d6:03: PowerZoomAdapterInfoCBR
[0] 0.145664     PropMgr:e044ebfd:d6:03: FactErrLensDataInfoCBR
[0] 0.147200      NFCMgr:e03f62a7:3e:03: [BLE] BLEMGR_InitializeParam
[0] 0.147968  **INT147h*:00103987:00:0f: [2] *** mpu_send(06 05 03 8a 00 00)
[0] 0.148480      NFCMgr:e0606d53:3e:03:  NFCI2C_SetParam 1 3 0xa8 0x0
[0] 0.148736  **INT147h*:00103987:00:0f: [3] *** mpu_send(06 04 02 14 00 00)
[0] 0.148992      NFCMgr:e05d56d9:3e:03:  PROP_SPECIAL_OPTION Wlan off (0x0)
[0] 0.151040  **INT147h*:e0042cd9:00:03: [STARTUP]startupCompleteCallback 0x2
[0] 0.151040  **INT147h*:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x2)
[0] 0.151040  **INT147h*:e0049231:00:03: [SEQ] NotifyComplete (Cur = 1, 0x2, Flag = 0x2)
[0] 0.151040  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.151296  **INT147h*:00103a07:00:0f: [0] *** mpu_recv(2c 2a 02 00 03 03 03 04 03 00 00 48 00 00 00 14 50 00 00 00 00 81 06 00 00 04 06 00 00 04 06 00 00 04 01 01 00 00 00 00 4d 4b 01 00)
[0] 0.151808  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.151808     PropMgr:e044c893:01:03: DivideCameraInitData in L:491
[0] 0.152320     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80000000(1 0 0) 0x3 
[0] 0.152320     PropMgr:e0064901:81:03: ChangeAEMode -> 3 @AE_MODE_DIAL
[0] 0.152832  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.152832  **INT147h*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.152832  **INT147h*:00103a07:00:0f: [1] *** mpu_recv(06 05 01 21 01 00)
[0] 0.152832     PropMgr:e0064369:81:01: DIST Send 0,1
[0] 0.152832     PropMgr:e009294b:81:01: propst_ChangeAEMode Start
[0] 0.152832     PropMgr:e009297f:81:03: Active Adjective & Situation 3->3
[0] 0.152832     PropMgr:e00ae52f:81:03: ReqChangeCBR : Adjective 0, 0
[0] 0.152832     PropMgr:e00ae589:81:03: Not ExecMultiConvert Already None : Adjective 0, 0
[0] 0.153088  **INT147h*:00103987:00:0f: [4] *** mpu_send(08 06 01 a7 00 01 00 00)
[0] 0.153600     PropMgr:e00ae62b:81:03: Not ExecMultiConvert : Situation 0
[0] 0.153856     PropMgr:e0092ce5:81:03: !! Convert End !!
[0] 0.154624     PropMgr:e04e889d:02:03: DataType = 0x2000000 fModify = TRUE
[0] 0.155392     PropMgr:e0092f93:81:01: propst_ChangeAEMode End
[0] 0.155392     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.155904     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.155904     PropMgr:e00c422f:81:01: No TsLensExist 0 / 0 / 0
[0] 0.156928     PropMgr:e05ead8f:00:01: [PM] Disable (ID = 1, cnt = 1/3)
[0] 0.156928     PropMgr:e00644af:81:01: CustomSlaveCBR 0x80000001(0 0 0) 0x3 
[0] 0.156928     PropMgr:e044c7b5:01:03: Deliv WaitID = 0x80000001, 0xE006442B(1)
[0] 0.157696     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050016(0 0 0) 0x1 
[0] 0.157696     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050029(0 0 0) 0x0 
[0] 0.158208     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050024(0 0 0) 0x0 
[0] 0.158208     PropMgr:e0064fd9:81:03: PROP_CHROMATISM 0 (Excluding:0)
[0] 0.158208     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050023(0 0 0) 0x0 
[0] 0.158208     PropMgr:e0064f73:81:03: PROP_DISTORTION_COMP 0 (Excluding:0)
[0] 0.158208     PropMgr:e0064369:81:01: DIST Send 0,1
[0] 0.158208     PropMgr:e00644af:81:01: CustomSlaveCBR 0x202000c(0 0 0) 0x0 
[0] 0.158208     PropMgr:e0064fa9:81:03: PROP_LIGHT_FALLOFF_COMP 0 (Excluding:0)
[0] 0.158208     PropMgr:e00644af:81:01: CustomSlaveCBR 0x205000e(0 0 0) 0x2 
[0] 0.158720     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050016(0 0 0) 0x1 
[0] 0.158720     PropMgr:e00644af:81:01: CustomSlaveCBR 0x2050029(0 0 0) 0x0 
[0] 0.158720     PropMgr:e044f427:01:03: Complete WaitID = 0x80000001, 0xE006442B(0)
[0] 0.158720     PropMgr:e044f583:01:03: SpecialComplete ID = 0x80000001, 0x80000001 3011
[0] 0.158720     PropMgr:e05eae1b:00:01: [PM] Enable (ID = 1, cnt = 0/2)
[0] 0.158720     Startup:e00490cd:00:05: [SEQ] seqEventDispatch (Startup, 1)
[0] 0.158976  **INT147h*:00103987:00:0f: [5] *** mpu_send(08 06 00 00 02 00 00 00)
[0] 0.159232     Startup:e0041c9b:89:05: startupPrepareProperty
[0] 0.159232     PropMgr:e00644af:81:01: CustomSlaveCBR 0x8003002c(0 0 0) 0x0 
[0] 0.159744     PropMgr:e0048407:88:03: HotPlug TimelapseSetting = 0
[0] 0.159744     Startup:e009565b:88:03: # 0 0 0 1
[0] 0.159744     Startup:e004882f:88:03: CreateTask Master End
[0] 0.160256     PropMgr:e0041c3f:89:03: PROP_GPS_AUTO_TIME_SETTING 0
[0] 0.160256     Startup:e0042cd9:00:03: [STARTUP]startupCompleteCallback 0x20000000
[0] 0.160256     Startup:e00491fb:00:02: [SEQ] NotifyComplete (Startup, Flag = 0x20000000)
[0] 0.160256     Startup:e0049231:00:03: [SEQ] NotifyComplete (Cur = 2, 0x20420010, Flag = 0x20000000)
[0] 0.160256     Startup:e0041ccd:89:03: startupPrepareProperty : CLASSID_FLAG_PROPAD
[0] 0.160256     Startup:e0657f11:19:03: FM_Initialize (0, 1, 0)
[0] 0.160512  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
[0] 0.161024  **INT-2Ah*:e05ead8f:00:01: [PM] Disable (ID = 3, cnt = 1/2)
[0] 0.161536     PropMgr:e0657ded:19:03: fmResultCBR (0xa57bc4)
[0] 0.161792  **INT147h*:e05eae1b:00:01: [PM] Enable (ID = 3, cnt = 0/1)
